Date,Symbol,Company Name,Type,Split Ratio
18-Feb-25,OTLY,Oatly Group Ab,Reverse,1 for 20
18-Feb-25,MULN,Mullen Automotive Inc,Reverse,1 for 59.99
18-Feb-25,MEGL,Magic Empire Global Ltd.,Reverse,1 for 4
18-Feb-25,FEAM,5e Advanced Materials Inc,Reverse,1 for 23
18-Feb-25,CYN,Cyngn Inc,Reverse,1 for 149.93
18-Feb-25,BOXL,Boxlight Corp,Reverse,1 for 5
13-Feb-25,TANH,Tantech Holdings Ltd.,Reverse,1 for 40
13-Feb-25,HYFM,Hydrofarm Holdings Group Inc,Reverse,1 for 10
11-Feb-25,NIVF,Newgenivf Group Ltd.,Reverse,1 for 20
11-Feb-25,GSAT,Globalstar Inc,Reverse,1 for 15
10-Feb-25,TCBP,Tc Biopharm (holdings) PLC,Reverse,1 for 20
10-Feb-25,RIME,Algorhythm Holdings Inc,Reverse,1 for 200
10-Feb-25,BTAI,Bioxcel Therapeutics Inc,Reverse,1 for 16
07-Feb-25,FTLF,Fitlife Brands Inc,Forward,2 for 1
05-Feb-25,TNXP,Tonix Pharmaceuticals Holding Corp,Reverse,1 for 100
04-Feb-25,GCTK,Glucotrack Inc,Reverse,1 for 20
03-Feb-25,EYEN,Eyenovia Inc,Reverse,1 for 80
31-Jan-25,ZKIN,Zk International Group Co Ltd.,Reverse,1 for 7
31-Jan-25,FCUV,Focus Universal Inc,Reverse,1 for 10
30-Jan-25,CRKN,Crown Electrokinetics Corp,Reverse,1 for 149.93
30-Jan-25,BLRX,Biolinerx Ltd.,Reverse,1 for 40
30-Jan-25,ACON,Aclarion Inc,Reverse,1 for 334.45
29-Jan-25,ENVB,Enveric Biosciences Inc,Reverse,1 for 15
29-Jan-25,BCTX,Briacell Therapeutics Corp,Reverse,1 for 15
28-Jan-25,VINC,Vincerx Pharma Inc,Reverse,1 for 20
28-Jan-25,REVB,Revelation Biosciences Inc,Reverse,1 for 16
28-Jan-25,INKT,Mink Therapeutics Inc,Reverse,1 for 10
27-Jan-25,IVP,Inspire Veterinary Partners Inc,Reverse,1 for 25
27-Jan-25,HAO,Haoxi Health Technology Ltd.,Reverse,1 for 25
27-Jan-25,GITS,Global Interactive Technologies Inc,Reverse,1 for 20
27-Jan-25,CDT,Conduit Pharmaceuticals Inc,Reverse,1 for 100
27-Jan-25,BNGO,Bionano Genomics Inc,Reverse,1 for 59.99
21-Jan-25,BQ,Boqii Holding Ltd.,Reverse,1 for 10
17-Jan-25,OUT,Outfront Media Inc,Reverse,1 for 1.02
16-Jan-25,RLI,Rli Corp,Forward,2 for 1
16-Jan-25,MBIO,Mustang Bio Inc,Reverse,1 for 50
16-Jan-25,ALVR,Allovir Inc,Reverse,1 for 23
15-Jan-25,SVUHF,Srivaru Holding Ltd.,Reverse,1 for 50
15-Jan-25,SMX,Smx (security Matters) Public Ltd Co.,Reverse,1 for 28.5
14-Jan-25,EVAX,Evaxion Biotech A,Reverse,1 for 5
13-Jan-25,THCH,Th International Ltd.,Reverse,1 for 5
13-Jan-25,OBT,Orange County Bancorp Inc,Forward,2 for 1
10-Jan-25,XTIA,Xti Aerospace Inc,Reverse,1 for 250
08-Jan-25,JXG,Jx Luxventure Group Inc,Reverse,1 for 4
08-Jan-25,CERO,Cero Therapeutics Holdings Inc,Reverse,1 for 100
07-Jan-25,TCBP,Tc Biopharm (holdings) PLC,Forward,1.25 for 1
06-Jan-25,RGFC,Real Good Food Company Inc,Reverse,1 for 12
06-Jan-25,ODC,Oil-dri Corp Of America,Forward,2 for 1
06-Jan-25,IDAI,T Stamp Inc,Reverse,1 for 15
03-Jan-25,MTH,Meritage Homes Corp,Forward,2 for 1
03-Jan-25,ALUR,Allurion Technologies Inc,Reverse,1 for 25
02-Jan-25,ELBM,Electra Battery Materials Corp,Reverse,1 for 4
02-Jan-25,CVLG,Covenant Logistics Group Inc,Forward,2 for 1
02-Jan-25,CISS,C3is Inc,Reverse,1 for 2.5
02-Jan-25,ATCH,Atlasclear Holdings Inc,Reverse,1 for 59.99
31-Dec-24,OST,Ostin Technology Group Co Ltd.,Reverse,1 for 10
31-Dec-24,OPTN,Optinose Inc,Reverse,1 for 15
